timestamp,event_ticker,market_ticker,yes_price,no_price
,KXNCAAF-26,KXNCAAF-26-LV,,
,KXNCAAF-26,KXNCAAF-26-AUB,,
,KXNCAAF-26,KXNCAAF-26-OKL,,
,KXNCAAF-26,KXNCAAF-26-IND,,
,KXNCAAF-26,KXNCAAF-26-WIS,,
,KXNCAAF-26,KXNCAAF-26-AZST,,
,KXNFLNFCWEST-25,KXNFLNFCWEST-25-LA,,
,KXNFLNFCWEST-25,KXNFLNFCWEST-25-ARI,,
,KXNFLNFCWEST-25,KXNFLNFCWEST-25-SF,,
,KXNFLNFCWEST-25,KXNFLNFCWEST-25-SEA,,
,KXNFLNFCSOUTH-25,KXNFLNFCSOUTH-25-TB,,
,KXNFLNFCSOUTH-25,KXNFLNFCSOUTH-25-ATL,,
,KXNFLNFCSOUTH-25,KXNFLNFCSOUTH-25-CAR,,
,KXNFLNFCSOUTH-25,KXNFLNFCSOUTH-25-NO,,
,KXNFLNFCNORTH-25,KXNFLNFCNORTH-25-DET,,
,KXNFLNFCNORTH-25,KXNFLNFCNORTH-25-CHI,,
,KXNFLNFCNORTH-25,KXNFLNFCNORTH-25-GB,,
,KXNFLNFCNORTH-25,KXNFLNFCNORTH-25-MIN,,
,KXNFLNFCEAST-25,KXNFLNFCEAST-25-PHI,,
,KXNFLNFCEAST-25,KXNFLNFCEAST-25-DAL,,
,KXNFLNFCEAST-25,KXNFLNFCEAST-25-NYG,,
,KXNFLNFCEAST-25,KXNFLNFCEAST-25-WAS,,
,KXNFLAFCWEST-25,KXNFLAFCWEST-25-KC,,
,KXNFLAFCWEST-25,KXNFLAFCWEST-25-DEN,,
,KXNFLAFCWEST-25,KXNFLAFCWEST-25-LV,,
,KXNFLAFCWEST-25,KXNFLAFCWEST-25-LAC,,
,KXNFLAFCSOUTH-25,KXNFLAFCSOUTH-25-HOU,,
,KXNFLAFCSOUTH-25,KXNFLAFCSOUTH-25-IND,,
,KXNFLAFCSOUTH-25,KXNFLAFCSOUTH-25-JAC,,
,KXNFLAFCSOUTH-25,KXNFLAFCSOUTH-25-TEN,,
,KXNFLAFCNORTH-25,KXNFLAFCNORTH-25-BAL,,
,KXNFLAFCNORTH-25,KXNFLAFCNORTH-25-CIN,,
,KXNFLAFCNORTH-25,KXNFLAFCNORTH-25-CLE,,
,KXNFLAFCNORTH-25,KXNFLAFCNORTH-25-PIT,,
,KXNFLAFCEAST-25,KXNFLAFCEAST-25-BUF,,
,KXNFLAFCEAST-25,KXNFLAFCEAST-25-MIA,,
